id	raw_text	normalized_text	speaker_id	split	raw_ner	normalized_ner
20160913-0900-PLENARY-16-en_20160913-18:16:00_2	The EU is ready to contribute to this process. No electoral process is completed without transparent post electoral mechanisms. Transparency is one of the fundamental principles of free, fair and competitive elections, and must also be ensured in the days after the election day. In the case of Gabon, this needed to be ensured by publishing the results of the voting stations and by a transparent appeal process. This also applies to the current complaint procedures at the constitutional court. I am sure that our observation mission,	the eu is ready to contribute to this process. no electoral process is completed without transparent post electoral mechanisms. transparency is one of the fundamental principles of free fair and competitive elections and must also be ensured in the days after the election day. in the case of gabon this needed to be ensured by publishing the results of the voting stations and by a transparent appeal process. this also applies to the current complaint procedures at the constitutional court. i am sure that our observation mission	96651	fine-tune	[['GPE', 295, 5], ['GPE', 4, 2]]	[['GPE', 293, 5], ['GPE', 4, 2]]
20140416-0900-PLENARY-18-en_20140416-20:56:31_18	The Commission believes that the text has reached an excellent balance.	the commission believes that the text has reached an excellent balance.	None	fine-tune	None	None
20140416-0900-PLENARY-18-en_20140416-20:56:31_7	But that was difficult to achieve in practice.	but that was difficult to achieve in practice.	None	fine-tune	None	None
20140416-0900-PLENARY-18-en_20140416-20:56:31_16	Defending the effectiveness of competition authorities is good news for the victims of anti trust infringements.	defending the effectiveness of competition authorities is good news for the victims of anti trust infringements.	None	fine-tune	None	None
20140416-0900-PLENARY-18-en_20140416-20:56:31_9	Consumers and small companies, especially, have found it difficult to obtain compensation for the harm they suffered.	consumers and small companies especially have found it difficult to obtain compensation for the harm they suffered.	None	fine-tune	None	None
20140416-0900-PLENARY-18-en_20140416-20:56:31_14	One way to do this is by allowing victims to use the infringement decisions of competition authorities in their own claims. In parallel, the directive also clarifies the relationship between public and private enforcement of EU competition laws, in particular when it comes to accessing documents that are in the possession of a competition authority.	one way to do this is by allowing victims to use the infringement decisions of competition authorities in their own claims. in parallel the directive also clarifies the relationship between public and private enforcement of eu competition laws in particular when it comes to accessing documents that are in the possession of a competition authority.	None	fine-tune	[['GPE', 225, 2], ['CARDINAL', 0, 3]]	[['GPE', 224, 2], ['CARDINAL', 0, 3]]
20140416-0900-PLENARY-18-en_20140416-20:56:31_12	The directive includes rules that remove the current obstacles.	the directive includes rules that remove the current obstacles.	None	fine-tune	None	None
20140416-0900-PLENARY-18-en_20140416-20:56:31_3	I would like to underline the importance of the directive.	i would like to underline the importance of the directive.	None	fine-tune	None	None
20140416-0900-PLENARY-18-en_20140416-20:56:31_5	When Vice President Almunia was before you in his hearing four years ago, he promised that Parliament would be fully involved in this file as co legislator. As a consequence, today we bring this file negotiated under the ordinary legislative procedure to a successful end.	when vice president almunia was before you in his hearing four years ago he promised that parliament would be fully involved in this file as co legislator. as a consequence today we bring this file negotiated under the ordinary legislative procedure to a successful end.	None	fine-tune	[['DATE', 175, 5], ['ORG', 91, 10], ['DATE', 58, 14], ['PERSON', 20, 7]]	[['DATE', 173, 5], ['ORG', 90, 10], ['DATE', 58, 14], ['PERSON', 20, 7]]
20140416-0900-PLENARY-18-en_20140416-20:56:31_2	We especially welcome that we can adopt this today at the very last moment before you all go campaigning.	we especially welcome that we can adopt this today at the very last moment before you all go campaigning.	None	fine-tune	None	None
20140416-0900-PLENARY-18-en_20140416-20:56:31_4	It has been described by the press as the most important development in competition policy of the last years and as a democratisation of the competition law enforcement.	it has been described by the press as the most important development in competition policy of the last years and as a democratisation of the competition law enforcement.	None	fine-tune	None	None
20140416-0900-PLENARY-18-en_20140416-20:56:31_15	The text that you will be voting tomorrow preserves a company's incentives to cooperate with competition authorities through leniency programmes and settlement procedures.	the text that you will be voting tomorrow preserves a company's incentives to cooperate with competition authorities through leniency programmes and settlement procedures.	None	fine-tune	[['DATE', 33, 8]]	[['DATE', 33, 8]]
20140416-0900-PLENARY-18-en_20140416-20:56:31_13	It gives victims better access to the evidence they need to prove their claims and it ensures that victims can overcome the burden of providing a competition law infringement.	it gives victims better access to the evidence they need to prove their claims and it ensures that victims can overcome the burden of providing a competition law infringement.	None	fine-tune	None	None
20140416-0900-PLENARY-18-en_20140416-20:56:31_17	The more decisions are taken, the easier it will be for the victims to claim damages.	the more decisions are taken the easier it will be for the victims to claim damages.	None	fine-tune	None	None
20140416-0900-PLENARY-18-en_20140416-20:56:31_11	It enables citizens and businesses harmed by anti trust infringements to effectively exercise the right to compensation that the EU is granting them.	it enables citizens and businesses harmed by anti trust infringements to effectively exercise the right to compensation that the eu is granting them.	None	fine-tune	[['GPE', 129, 2]]	[['GPE', 129, 2]]
20140416-0900-PLENARY-18-en_20140416-20:56:31_8	In recent years we have seen very few actions and many of them have failed because of inadequate legal frameworks.	in recent years we have seen very few actions and many of them have failed because of inadequate legal frameworks.	None	fine-tune	[['DATE', 0, 15]]	[['DATE', 0, 15]]
20140416-0900-PLENARY-18-en_20140416-20:56:31_19	On the one hand, it will be easier for victims to exercise the right to compensation.	on the one hand it will be easier for victims to exercise the right to compensation.	None	fine-tune	[['CARDINAL', 7, 3]]	[['CARDINAL', 7, 3]]
20140416-0900-PLENARY-18-en_20140416-20:56:31_6	More than 10 years ago the Court of Justice first recognised that any victim of anti trust infringement had a right to compensation.	more than ten years ago the court of justice first recognised that any victim of anti trust infringement had a right to compensation.	None	fine-tune	[['ORG', 27, 16], ['DATE', 0, 22]]	[['ORG', 28, 16], ['DATE', 0, 23]]
20140416-0900-PLENARY-18-en_20140416-21:13:45_1	Large companies, SMEs and consumers will be able to effectively claim full compensation before national courts throughout the Union for the harm they have suffered.	large companies smes and consumers will be able to effectively claim full compensation before national courts throughout the union for the harm they have suffered.	None	fine-tune	[['GPE', 126, 5]]	[['GPE', 125, 5]]
20140416-0900-PLENARY-18-en_20140416-21:13:45_2	In addition, the right of compensation will apply to the victims who have actually suffered the harm, including those who had no direct dealings with an infringer because they were further down the supply chain.	in addition the right of compensation will apply to the victims who have actually suffered the harm including those who had no direct dealings with an infringer because they were further down the supply chain.	None	fine-tune	None	None
20140416-0900-PLENARY-18-en_20140416-21:13:45_4	I want to stress that we are indeed talking about full and fair compensation.	i want to stress that we are indeed talking about full and fair compensation.	None	fine-tune	None	None
20140416-0900-PLENARY-18-en_20140416-21:13:45_5	We all agree that multiple compensation for the same harm should be avoided, and the directive includes provision to achieve this goal. At the same time, the text regulates interaction between the public and private enforcement of competition law, leading to an optimal overall enforcement of competition rules.	we all agree that multiple compensation for the same harm should be avoided and the directive includes provision to achieve this goal. at the same time the text regulates interaction between the public and private enforcement of competition law leading to an optimal overall enforcement of competition rules.	None	fine-tune	None	None
20140416-0900-PLENARY-18-en_20140416-21:13:45_6	The effectiveness of essential tools of public enforcement, such as leniency programmes, is maintained and even enhanced while respecting EU rules on transparency, as well as the fundamental rights of the victims.	the effectiveness of essential tools of public enforcement such as leniency programmes is maintained and even enhanced while respecting eu rules on transparency as well as the fundamental rights of the victims.	None	fine-tune	[['GPE', 138, 2]]	[['GPE', 136, 2]]
20151126-0900-PLENARY-14-en_20151126-12:34:33_5	The other continents are surging ahead, but the eurozone economy is the same size that it was in	the other continents are surging ahead but the eurozone economy is the same size that it was in.	4555	fine-tune	[['LOC', 48, 8]]	[['LOC', 47, 8]]
20151126-0900-PLENARY-14-en_20151126-12:34:33_3	are represented by one twenty eighth of an EU official, I think at the moment a Swedish former sociology professor.	are represented by one twenty eighth of an eu official i think at the moment a swedish former sociology professor.	4555	fine-tune	[['NORP', 80, 7], ['GPE', 43, 2], ['CARDINAL', 19, 17]]	[['NORP', 79, 7], ['GPE', 43, 2], ['CARDINAL', 19, 17]]
